iso_code
DZ
AO
BJ
BW
BF
BI
CM
CV
CF
TD
KM
CG
CD
CI
DJ
EG
GQ
ER
ET
GA
GM
GH
GN
GW
KE
LS
LR
LY
MG
MW
ML
MR
MU
MA
MZ
NA
NE
NG
RW
ST
SN
SC
SL
SO
ZA
SS
SD
SZ
TZ
TG
TN
UG
ZM
ZW
