iso_code
AF
AU
BD
BT
BN
KH
CN
KP
FJ
IN
ID
IR
JP
KI
LA
MY
MV
MH
FM
MN
MM
NR
NP
NZ
PK
PW
PG
PH
KR
WS
SG
SB
LK
TH
TL
TO
TV
VU
VN
